Term,Date,Value
Digital inclusion initiatives,7/1/2011,0
Digital inclusion initiatives,8/1/2011,0
Digital inclusion initiatives,9/1/2011,0
Digital inclusion initiatives,10/1/2011,0
Digital inclusion initiatives,11/1/2011,0
Digital inclusion initiatives,12/1/2011,0
Digital inclusion initiatives,1/1/2012,0
Digital inclusion initiatives,2/1/2012,0
Digital inclusion initiatives,3/1/2012,0
Digital inclusion initiatives,4/1/2012,0
Digital inclusion initiatives,5/1/2012,0
Digital inclusion initiatives,6/1/2012,0
Digital inclusion initiatives,7/1/2012,0
Digital inclusion initiatives,8/1/2012,0
Digital inclusion initiatives,9/1/2012,0
Digital inclusion initiatives,10/1/2012,0
Digital inclusion initiatives,11/1/2012,0
Digital inclusion initiatives,12/1/2012,0
Digital inclusion initiatives,1/1/2013,0
Digital inclusion initiatives,2/1/2013,0
Digital inclusion initiatives,3/1/2013,0
Digital inclusion initiatives,4/1/2013,0
Digital inclusion initiatives,5/1/2013,0
Digital inclusion initiatives,6/1/2013,0
Digital inclusion initiatives,7/1/2013,0
Digital inclusion initiatives,8/1/2013,0
Digital inclusion initiatives,9/1/2013,0
Digital inclusion initiatives,10/1/2013,0
Digital inclusion initiatives,11/1/2013,0
Digital inclusion initiatives,12/1/2013,0
Digital inclusion initiatives,1/1/2014,0
Digital inclusion initiatives,2/1/2014,0
Digital inclusion initiatives,3/1/2014,0
Digital inclusion initiatives,4/1/2014,0
Digital inclusion initiatives,5/1/2014,0
Digital inclusion initiatives,6/1/2014,0
Digital inclusion initiatives,7/1/2014,0
Digital inclusion initiatives,8/1/2014,0
Digital inclusion initiatives,9/1/2014,0
Digital inclusion initiatives,10/1/2014,0
Digital inclusion initiatives,11/1/2014,0
Digital inclusion initiatives,12/1/2014,0
Digital inclusion initiatives,1/1/2015,0
Digital inclusion initiatives,2/1/2015,0
Digital inclusion initiatives,3/1/2015,0
Digital inclusion initiatives,4/1/2015,0
Digital inclusion initiatives,5/1/2015,0
Digital inclusion initiatives,6/1/2015,0
Digital inclusion initiatives,7/1/2015,0
Digital inclusion initiatives,8/1/2015,0
Digital inclusion initiatives,9/1/2015,0
Digital inclusion initiatives,10/1/2015,0
Digital inclusion initiatives,11/1/2015,0
Digital inclusion initiatives,12/1/2015,0
Digital inclusion initiatives,1/1/2016,0
Digital inclusion initiatives,2/1/2016,0
Digital inclusion initiatives,3/1/2016,0
Digital inclusion initiatives,4/1/2016,0
